location,population,total_deaths,people_fully_vaccinated,total_tests,total_cases,percent_pop_infected,stringency_index,median_age,percent_pop_vaccinated,death_percent_from_cases
Guinea,13497237,442,2511039,692527,36764,0.2723816733750767,80.56,19,18.60409652731148,1.2022630834512023
Monaco,39520,57,25667,,12186,30.83502024291498,87.96,,64.94686234817813,0.46774987690792713
Jordan,10269022,14066,4502190,16803235,1696937,16.524816092515916,100,23.2,43.842441860578354,0.8289052569423614
Saint Kitts and Nevis,53546,43,26294,81085,5729,10.699211892578344,,,49.10544204982632,0.7505672892302321
Germany,83900471,139091,64502999,128874570,26360953,31.419314678221532,85.19,46.6,76.88037770371993,0.5276402564049941
Bhutan,779900,21,672030,1711669,59628,7.6455955891781,97.22,28.6,86.16873958199768,0.03521835379351982
Nigeria,211400704,3143,16817979,5160280,256028,0.12111028731484264,85.65,18.1,7.955498104679916,1.2276001062383801
Kyrgyzstan,6628347,2991,1303146,,200993,3.032324650474696,92.13,26.3,19.660195822578387,1.4881115262720592
Syria,18275704,3150,1598343,175957,55892,0.30582679605666624,87.04,21.7,8.745726019637875,5.6358691762685185
Georgia,3979773,16811,1267764,13652505,1655221,41.59083947752799,100,38.7,31.855183700175864,1.0156347702210158
Spain,46745211,106341,40496678,91859988,12326264,26.36904131206082,85.19,45.5,86.63278469317423,0.86271882542837
Colombia,51265841,139854,35778117,34859505,6103455,11.90550058468757,90.74,32.2,69.78938861063452,2.2913906959255046
Tanzania,61498438,840,3915900,455776,35354,0.057487638954342224,52.78,17.7,6.367478796778546,2.375968772981841
Botswana,2397240,2697,1348663,2285160,308126,12.853364702741485,86.11,25.8,56.258989504596954,0.8752912769451459
Somalia,16359500,1361,1416494,493663,26565,0.1623827134081115,73.61,16.8,8.658540908951986,5.123282514586863
Bahamas,396914,810,157964,236345,34759,8.75731266722766,96.3,34.3,39.79804189320609,2.3303317126499614
Vietnam,98168829,43079,79046788,85816124,10719379,10.919330615627493,96.3,32.6,80.52127014777777,0.4018796238102972
Eswatini,1172369,1409,336066,542576,72510,6.184912770637913,89.81,21.5,28.665548133736053,1.9431802509998621
North Macedonia,2082661,9303,836961,2051008,311936,14.977761623231048,,39.1,40.18709718000193,2.9823425318013954
Vatican,812,,,,29,3.571428571428571,,,,
Maldives,543620,299,384016,2211113,179753,33.065928405871745,,30.6,70.64052095213569,0.1663393656851346
United States,332915074,1007032,221292360,894110707,84210815,25.294984089545913,75.46,38.3,66.47111449210017,1.1958464004890583
Panama,4381583,8255,3101392,6170279,858268,19.588080380994725,93.52,29.7,70.78245465166356,0.9618207832518514
Sao Tome and Principe,223364,73,86914,2908,5991,2.682169015597858,,18.7,38.911373363657525,1.2184944082790854
Dominican Republic,10953714,4377,5980345,3324187,584029,5.331789747294844,100,27.6,54.596504893226175,0.7494490855762299
Armenia,2968128,8625,985305,3090493,422963,14.250160370442245,,35.7,33.19617617569053,2.0391854606667725
Comoros,888456,161,301218,100289,8120,0.9139450912594432,,20.4,33.903536022042736,1.9827586206896552
Vanuatu,314464,14,118158,11989,9088,2.889996947186323,85.19,23.1,37.57441233336725,0.15404929577464788
Bonaire Sint Eustatius and Saba,26445,35,16736,,10091,38.158442049536774,,,63.286065418793726,0.34684372212862946
Greece,10370747,29845,7624898,82445411,3453229,33.29778462438627,88.89,45.3,73.52313194025464,0.8642635631752195
Samoa,200144,26,186860,,13499,6.744643856423376,,22,93.36277879926453,0.1926068597673902
New Zealand,5126300,1140,4104103,7183108,1170815,22.839377328677603,96.3,37.9,80.05975069738408,0.09736807266733002
Isle of Man,85410,106,67024,,32966,38.5973539398197,,,78.47324669242477,0.3215434083601286
United Kingdom,68207114,178835,49938085,503270347,22376777,32.80710132377101,87.96,40.8,73.21536137711384,0.7991990982436836
Zimbabwe,15092171,5503,4504733,2325501,252398,1.6723770224972936,87.96,19.6,29.848144445222623,2.1802866900688596
Falkland Islands,3528,,1775,,1687,47.817460317460316,,,50.31179138321995,
Equatorial Guinea,1449891,183,214486,479991,16001,1.1036002016703323,,22.4,14.793249975342974,1.1436785200924944
Ukraine,43466822,112459,15153577,19288823,5040518,11.596242301772143,88.89,41.4,34.86239918805198,2.231100057573448
Serbia,6871547,16081,3276619,9697264,2017454,29.359531412649876,100,41.2,47.68386216378932,0.7970937627326323
Madagascar,28427333,1395,1156975,428492,64377,0.22646162409959456,95.37,19.6,4.0699386045113695,2.1669229693834757
Bahrain,1748295,1488,1220655,9841317,585665,33.49920922956366,78.7,32.4,69.81973865966556,0.2540701595622071
Guam,170184,,,315529,,,85.19,31.4,,
Gibraltar,33691,102,41421,533268,18419,54.67038675017067,,,122.94381288771481,0.553775992181986
Burkina Faso,21497097,384,1546170,324773,20899,0.09721777782367545,89.81,17.6,7.192459521394912,1.8374084884444233
Bosnia and Herzegovina,3263459,15788,846080,1499302,377904,11.579860509968103,92.59,42.5,25.92586577615959,4.177780600364113
Cape Verde,561901,402,307398,,56324,10.023829820555578,87.96,25.7,54.70678998613635,0.7137277182018322
Seychelles,98910,167,80551,,44016,44.50106157112527,93.52,36.2,81.43868162976443,0.37940748818611414
Hungary,9634162,46507,6196483,10943720,1917777,19.90600739327406,79.63,43.4,64.3178202733149,2.425047333449092
Indonesia,276361788,156591,167420810,59503735,6054973,2.190958831110182,80.09,29.3,60.58030352589845,2.5861552148952605
Cambodia,16946446,3056,14280965,2967276,136262,0.8040741993926043,73.15,25.6,84.27115042292644,2.2427382542454977
Belarus,9442867,6978,6063007,13220483,982867,10.40856553417516,43.52,40.3,64.20726883053632,0.7099638099559757
Tuvalu,11925,,6160,,,,,,51.65618448637317,
Peru,33359415,213195,27309525,28971116,3580960,10.734480805493742,96.3,29.1,81.86452010624286,5.953571109423172
New Caledonia,288217,313,180201,,62193,21.57853284157423,,33.4,62.52268256209731,0.5032720724197257
Northern Cyprus,,,275988,,,,,,,
Slovenia,2078723,6637,1221846,5255192,1025030,49.31056230195173,89.81,44.5,58.77868287405297,0.6474932441001726
Canada,38067913,41070,31394080,61863342,3884792,10.204898808085435,78.24,41.4,82.46861339627418,1.057199458812724
Ecuador,17888474,35637,13949414,2752591,877282,4.904174609863312,93.52,28.1,77.97989923567545,4.062205767358728
Faeroe Islands,49053,28,40895,777845,34658,70.65419036552301,60.19,,83.36900903104805,0.08078942812626233
Mauritius,1273428,996,963452,1282514,225862,17.73653477071338,97.22,37.4,75.65814478714148,0.44097723388617827
Belgium,11632334,31754,9144862,34041556,4152558,35.69840755948032,81.48,41.8,78.61588224684745,0.7646852855517009
British Virgin Islands,30423,62,17920,96630,6765,22.236465831772016,,,58.90280379975677,0.9164818920916482
Kuwait,4328553,2555,3307357,8208880,633225,14.629022678017343,100,33.7,76.40791275976059,0.403490070669983
Puerto Rico,2828246,,,2937819,,,93.52,38.2,,
Philippines,111046910,60458,70850317,27837797,3690581,3.3234432187262124,100,25.2,63.802150820765746,1.6381702501584439
Palestine,5222756,5660,1769209,,657705,12.593063891937515,96.3,20.4,33.875007754526536,0.8605681878653803
Iran,85028760,141315,57843962,52223364,7232034,8.505397467868518,83.33,32.4,68.02870228849626,1.9540145967234115
Gabon,2278829,304,255914,1595381,47650,2.090986203879273,84.26,23.1,11.230065968091507,0.6379853095487933
Bangladesh,166303494,29131,117565106,13778119,1953507,1.174663834783892,93.52,27.5,70.6931064238494,1.491215542099414
Latvia,1866934,5824,1304942,7214912,828614,44.38367933735204,70.37,43.9,69.89759680845708,0.7028604392395011
Switzerland,8715494,13800,5998831,21054092,3674986,42.166123916785445,73.15,43.1,68.82950065710561,0.3755116346021454
Afghanistan,39835428,7705,4758426,981844,180347,0.4527301677290878,84.26,18.6,11.945211182367615,4.272319473015909
Egypt,104258327,24718,34761879,11954884,515645,0.4945839961540913,87.96,25.3,33.342064850129425,4.793608005507665
Marshall Islands,59618,,,3184,17,0.02851487805696266,,,,
Honduras,10062994,10971,5435396,,425371,4.227081920152194,100,24.9,54.01370606004535,2.5791603094710265
Namibia,2587344,4038,410511,1035270,166363,6.429875578972104,87.04,22,15.866115986123223,2.427222399211363
Guatemala,18249868,18152,6223674,4067775,861002,4.71785330173347,96.3,22.9,34.102569947355235,2.1082413281269963
Argentina,45605823,128889,37453354,36374790,9230573,20.239900067147126,100,31.9,82.1240612191123,1.396327183588711
Tonga,106759,12,72494,,11644,10.906808793638007,96.3,22.3,67.90434530109873,0.10305736860185502
Australia,25788217,8558,21614599,71795403,7312408,28.355616830740953,78.24,37.9,83.81579463209884,0.1170339510596236
United Arab Emirates,9991083,2305,9702490,162207997,908205,9.090155691830406,89.81,34,97.11149431948468,0.2537973254936936
Ethiopia,117876226,7513,21291403,4904442,472743,0.4010503356291709,80.56,19.8,18.062508210943232,1.589235588892908
Rwanda,13276517,1459,8510067,5422450,130057,0.9796018036959543,90.74,20.3,64.0986412324859,1.1218158192177277
Mauritania,4775110,982,1081845,961836,59141,1.2385264423227946,77.78,20.3,22.655917874143213,1.6604386128066824
Grenada,113015,226,38370,164138,17750,15.705879750475601,31.48,29.4,33.95124540990134,1.2732394366197184
Mexico,130262220,324922,79947470,15251971,5775977,4.434115279165363,82.41,29.3,61.37425724818753,5.625403286751315
Liberia,5180208,294,1438154,139824,7456,0.14393244441149852,87.96,19.2,27.762475946911785,3.9431330472103
Papua New Guinea,9119005,651,263995,249149,44481,0.4877834807635263,83.8,22.6,2.8949978643503322,1.463546233223174
Turks and Caicos Islands,39226,36,29807,,6123,15.609544689746595,,,75.98786519145465,0.5879470847623713
India,1393409033,524636,888628256,849799142,43160832,3.097499081592361,100,28.2,63.773682741728,1.2155372723120814
Israel,9291000,10852,6140539,51281102,4138515,44.54326767839845,94.44,30.6,66.09126035948768,0.26221966091701976
Ireland,4982904,7304,4035092,12226177,1561632,31.33979703401872,90.74,38.7,80.9787224477935,0.4677158254953792
Solomon Islands,703995,146,166361,,18174,2.5815524257984785,87.5,20.8,23.630991697384214,0.8033454385385715
Morocco,37344787,16076,23401718,11607598,1168303,3.128423252219915,93.52,29.6,62.66394825066214,1.3760129007629014
Northern Mariana Islands,57910,,,59110,,,,,,
Netherlands,17173094,22429,12409126,30612535,8180281,47.63428768281359,82.41,43.2,72.2591164993332,0.2741837352531044
Sierra Leone,8141343,125,1469752,420995,7682,0.09435789647973314,88.89,19.1,18.05294286212975,1.6271804217651655
Niger,25130810,310,1550910,254538,9031,0.0359359686377001,61.11,15.1,6.171349033318067,3.432620972206843
Kiribati,121388,13,60670,,3098,2.5521468349424983,81.48,23.2,49.98022868817346,0.4196255648805681
Romania,19127772,65684,8109741,21260367,2909195,15.20927267430833,87.04,43,42.39772933303471,2.2578067128535557
South Sudan,11381377,138,637798,395064,17617,0.15478794876929214,86.11,19.2,5.603873766768292,0.7833342793892263
Luxembourg,634814,1078,462025,4262883,247935,39.05632200928146,79.63,39.7,72.78116109600607,0.43479137677213786
Nepal,29674920,11952,19831322,6895478,979140,3.2995539667840723,97.22,25,66.82856095315506,1.2206630308229671
Anguilla,15125,9,10054,51382,3203,21.17685950413223,,,66.47272727272727,0.280986575085857
Saudi Arabia,35340680,9148,24901258,42527204,768079,2.1733565964208954,94.44,31.9,70.46060800188339,1.191023319215862
Myanmar,54806014,19434,24329862,8191029,613336,1.1191034618937987,90.74,29.1,44.39268653983849,3.168573180116608
Poland,37797000,116318,22498417,36813022,6007584,15.894340820700057,87.04,41.8,59.52434584755404,1.9361859942366184
Angola,33933611,1900,6555241,1618311,99761,0.29398875351049436,90.74,16.8,19.317840945368296,1.904551878990788
Jersey,101073,,80481,,,,,,79.6266065121249,
Costa Rica,5139053,8495,4143017,3601705,891038,17.338564128449345,81.48,33.6,80.61829679514884,0.9533824595584026
Uzbekistan,33935765,1637,14838975,,239028,0.7043542410197619,93.52,28.2,43.72665534429532,0.6848570042003448
Kosovo,1782115,3139,823117,1840081,228359,12.813931760857184,92.59,,46.187647822951945,1.3745900095901629
Central African Republic,4919987,113,1036577,92744,14649,0.29774468916279656,75.93,18.3,21.068693880695214,0.7713837121987849
Russia,145912022,371464,73960224,294422997,18063880,12.379980588576862,87.04,39.6,50.68823184425475,2.0563909857682847
Czechia,10724553,40288,6874845,54487876,3920299,36.55442795611155,82.41,43.3,64.10379061952513,1.0276767154750186
Aruba,107195,271,82345,793,37034,34.548253183450726,88.89,41.2,76.8179485983488,0.7317600043203543
Estonia,1325188,2574,846682,3390922,576870,43.53118199078169,77.78,42.7,63.891462947144106,0.4462010504966457
French Polynesia,282534,649,180807,,72951,25.820255261313683,,32.7,63.9947758499862,0.889638250332415
Curacao,164796,277,99391,19797,43864,26.617150901720915,,41.7,60.311536687783686,0.6314973554623382
Togo,8478242,273,1557538,740511,37095,0.43753174301936654,73.15,19.4,18.371001912896563,0.7359482410028306
Bulgaria,6896655,37148,2059496,9996349,1165167,16.894668502339176,73.15,44.7,29.862244812883926,3.188212505160205
Cook Islands,17572,1,14676,,5675,32.29569770088778,,,83.51923514682449,0.01762114537444934
Pakistan,225199929,30379,123207371,28581341,1530453,0.6795974611519526,96.3,23.5,54.710217515210665,1.9849678493883836
Montserrat,4981,6,1829,,980,19.674764103593656,,,36.71953423007428,0.6122448979591837
Cyprus,896005,1059,644447,29501771,489963,54.68306538467977,94.44,37.3,71.9244870285322,0.216138769662199
Malta,516100,721,469185,1923075,94742,18.357295097849256,87.04,42.4,90.90970742104243,0.7610141225644381
Thailand,69950844,30047,52467373,23931655,4459241,6.374820867064877,76.85,40.1,75.00606139934494,0.6738142208505887
Pitcairn,47,,47,,,,,,100,
Dominica,72172,65,30316,199769,14184,19.653051044726485,79.63,,42.00520977664468,0.45826283135927803
Andorra,77354,155,53427,300307,42894,55.451560358869614,65.74,,69.06818005533005,0.3613559005921574
United States Virgin Islands,104218,,,113777,,,65.74,42.2,,
Bolivia,11832936,21948,5960012,4288899,908862,7.680781844843917,96.3,25.4,50.36798982095399,2.4148880688157277
Iraq,41179351,25219,7473223,19002710,2328154,5.653692793749955,96.3,20,18.147986353646033,1.0832187217855864
Montenegro,628051,2720,283273,,237223,37.77129564318821,,39.1,45.10350274101944,1.1466004561109169
Moldova,4024025,11537,1060470,,518793,12.892390082069568,87.04,37.6,26.353464503823908,2.22381566443649
Djibouti,1002197,189,131018,309732,15675,1.5640637519369944,94.44,25.4,13.073078446652703,1.2057416267942584
Denmark,5813302,6363,4796436,64485628,3136896,53.96065781547217,72.22,42.3,82.50794471025246,0.20284383033419023
Kazakhstan,18994958,19015,9280860,11965068,1394867,7.343353957402801,92.13,30.6,48.85959737315555,1.363212406630883
Lesotho,2159067,698,735610,453904,33358,1.5450192143180366,85.19,22.2,34.070735183299085,2.0924515858264883
Barbados,287708,450,152808,682320,80654,28.03328374602027,88.89,39.8,53.112183185729975,0.5579388499020508
Brunei,441532,223,415977,93192,148674,33.67230461212324,76.85,32.4,94.21219753041682,0.14999260126182118
Antigua and Barbuda,98728,138,61687,16700,8253,8.359330686330118,,32.1,62.48176809010615,1.6721192293711378
Cameroon,27224262,1930,1214772,2717815,119947,0.4405886190780856,71.3,18.8,4.462093407711107,1.6090439944308736
Democratic Republic of Congo,92377986,1338,1189412,1026208,88374,0.09566564917316989,80.56,17,1.287549178653884,1.5140199606219022
Timor,1343875,131,664690,263677,22915,1.7051437075620872,87.04,18,49.460701330108826,0.5716779402138338
Tajikistan,9749625,125,4976770,,17786,0.18242752926394604,69.44,23.3,51.045758170186026,0.7027999550208028
Algeria,44616626,6875,6481186,230553,265884,0.5959303153044339,92.13,29.1,14.526392022561277,2.5857140707977915
Finland,5548361,4522,4327632,10911075,1092193,19.684966425219987,71.3,42.8,77.99838546915025,0.41402938857875854
Zambia,18920657,3987,3273876,3478388,321779,1.7006756160740086,70.83,17.7,17.303183499389053,1.2390491610701755
Austria,9043072,19927,6616365,187391997,4288153,47.419206658976066,82.41,44.4,73.16501516298885,0.4646989041668989
France,67422000,148396,52818342,274269677,29573524,43.86331464507134,87.96,42,78.33992168728308,0.5017866656675748
Senegal,17196308,1988,1051041,1102099,86111,0.5007528360157308,77.78,18.7,6.112015439593196,2.3086481401911487
Brazil,213993441,666676,166104268,70923215,31019038,14.49532184493449,81.02,33.5,77.6211958758119,2.149247826447745
Iceland,368792,153,290193,1345402,188291,51.05615089264409,65.74,37.3,78.68744441311092,0.08125720294650302
Guyana,790329,1234,366271,442695,64763,8.194435481932208,87.04,26.3,46.34411744982153,1.9054089526427127
Chile,19212362,57892,17518263,38250820,3702941,19.273741562854166,87.5,35.4,91.1822450565943,1.563405952187734
Western Sahara,611872,,,3943,,,,28.4,,
Belize,404915,677,211590,546449,59365,14.661101712705134,85.19,25,52.25541162960128,1.140402594121115
Suriname,591798,1350,237879,83312,80547,13.610556304685046,100,29.6,40.195979033386394,1.6760400759804834
Macao,658391,,577718,,83,0.012606490671956329,62.04,39.2,87.7469467231478,
Haiti,11541683,876,129664,197452,30818,0.2670147845855756,93.52,24.3,1.1234410094264415,2.842494645986112
Bermuda,62092,138,47657,9800,14755,23.763125684468207,96.3,,76.75223861367004,0.9352761775669264
Niue,1614,,1417,,,,,,87.79429987608425,
Yemen,30490639,2149,429048,336937,11822,0.03877255573423699,64.81,20.3,1.4071466327747346,18.177973270174252
Azerbaijan,10223344,9713,4848875,6890579,792767,7.754478378111898,96.3,32.4,47.42944187342224,1.2252023608449898
Mongolia,3329282,2179,2175617,7408778,925073,27.785961057068757,96.3,28.6,65.34793387883634,0.23554897829684793
Sweden,10160159,18977,7641970,18343276,2507948,24.684141261962534,69.44,41,75.21506307135549,0.7566743808085336
Eritrea,3601462,103,,23693,9759,0.2709732880702337,93.52,19.3,,1.0554360077876832
Wallis and Futuna,11094,7,6457,,454,4.092302145303768,,,58.20263205336218,1.5418502202643172
Greenland,56868,21,38502,,11971,21.050502919040586,77.78,,67.70415699514666,0.1754239411912121
Lithuania,2689862,9144,1875885,8695644,1062524,39.501059905675454,87.04,43.5,69.73907955129297,0.8605923254439429
Croatia,4081657,15987,2243858,4878008,1136500,27.844083910039473,96.3,44,54.974193078938285,1.4066871975362958
Sint Maarten (Dutch part),43421,,25915,,,,,,59.68310264618503,
South Africa,60041996,101190,18767585,25187804,3957777,6.591681262561624,87.96,27.3,31.257430216010807,2.556738290206851
Turkey,85042736,98965,53067556,162902327,15072747,17.72373245376301,87.04,31.6,62.401045046339995,0.6565823734718031
Congo,5657017,385,653331,395040,24079,0.42564835848999566,97.22,19,11.549037239944656,1.5989036089538604
Burundi,12255429,38,12895,1573240,42034,0.34298268954926014,27.31,17.5,0.10521867492357877,0.09040300708949897
